Country,2023,2022,2021,2020,2019
Macao,80.53%,-21.40%,23.54%,-54.34%,-2.56%
Guyana,33.02%,63.44%,20.01%,43.48%,5.35%
Armenia,8.70%,12.60%,5.80%,-7.20%,7.60%
Democratic Republic Of Congo,8.56%,8.92%,6.20%,1.74%,4.38%
Tajikistan,8.30%,8.00%,9.40%,4.40%,7.40%
Rwanda,8.24%,8.16%,10.86%,-3.37%,9.45%
Fiji,8.03%,20.02%,-4.88%,-17.04%,-0.58%
Samoa,7.99%,-5.31%,-7.08%,-3.11%,4.45%
India,7.58%,6.99%,9.69%,-5.78%,3.87%
Georgia,7.47%,10.96%,10.64%,-6.29%,5.38%
Panama,7.32%,10.81%,15.84%,-17.67%,3.28%
Guinea,7.06%,4.70%,3.90%,4.92%,5.62%
Mongolia,7.02%,5.03%,1.64%,-4.56%,5.60%
Mauritius,6.95%,8.88%,3.40%,-14.55%,2.89%
Djibouti,6.68%,3.73%,4.52%,1.32%,5.55%
Ethiopia,6.50%,5.32%,5.64%,6.06%,8.36%
Togo,6.41%,5.76%,5.99%,1.99%,4.92%
Benin,6.35%,6.25%,7.16%,3.85%,6.87%
Turkmenistan,6.30%,6.20%,6.20%,5.90%,6.30%
Kyrgyz Republic,6.15%,8.97%,5.51%,-7.15%,4.60%
St. Vincent And The Grenadines,6.02%,7.16%,0.75%,-3.74%,0.66%
Uzbekistan,5.99%,5.67%,7.40%,2.00%,5.98%
Montenegro,5.98%,6.41%,13.04%,-15.31%,4.06%
Zambia,5.83%,5.25%,6.23%,-2.79%,1.44%
Bangladesh,5.78%,7.10%,6.94%,3.45%,7.88%
Malta,5.61%,8.08%,12.51%,-8.16%,7.12%
Philippines,5.55%,7.58%,5.71%,-9.52%,6.12%
Kenya,5.43%,4.85%,7.59%,-0.27%,5.11%
Cambodia,5.40%,5.24%,3.03%,-3.10%,7.05%
Ukraine,5.30%,-28.76%,3.45%,-3.75%,3.20%
Gambia,5.30%,4.92%,5.26%,0.59%,6.22%
Mali,5.24%,3.48%,3.05%,-1.24%,4.76%
Uganda,5.23%,4.59%,3.54%,2.95%,6.44%
China,5.20%,2.99%,8.45%,2.24%,5.95%
Tanzania,5.19%,4.57%,4.32%,1.99%,5.80%
Cabo Verde,5.15%,17.44%,7.03%,-20.81%,6.95%
Costa Rica,5.11%,4.55%,7.94%,-4.27%,2.42%
Kazakhstan,5.10%,3.20%,4.30%,-2.50%,4.50%
Indonesia,5.05%,5.31%,3.70%,-2.07%,5.02%
Vietnam,5.05%,8.12%,2.55%,2.87%,7.36%
Mozambique,5.00%,4.36%,2.38%,-1.22%,2.32%
Zimbabwe,4.96%,6.52%,8.47%,-7.82%,-6.33%
Iran,4.95%,3.78%,4.72%,3.33%,-3.07%
Eswatini,4.84%,0.48%,10.68%,-1.56%,2.69%
Grenada,4.81%,7.32%,4.69%,-13.76%,0.68%
Paraguay,4.71%,0.18%,4.02%,-0.82%,-0.40%
Dominica,4.71%,5.58%,6.89%,-16.60%,5.50%
Liberia,4.71%,4.81%,4.99%,-2.98%,-2.47%
Nicaragua,4.57%,3.75%,10.32%,-1.76%,-2.90%
Belize,4.54%,8.73%,17.86%,-13.73%,4.24%
Turkey,4.52%,5.53%,11.44%,1.86%,0.82%
Barbados,4.52%,13.48%,-1.18%,-12.54%,0.38%
Kiribati,4.29%,3.86%,8.71%,-0.64%,3.31%
Guinea-Bissau,4.25%,4.20%,6.40%,1.50%,4.50%
Namibia,4.16%,5.35%,3.60%,-8.10%,-0.84%
Chad,4.12%,2.80%,-1.17%,-1.60%,3.25%
Algeria,4.10%,3.60%,3.80%,-5.00%,0.90%
Iceland,4.06%,8.88%,5.15%,-6.94%,1.86%
Cameroon,3.99%,3.58%,3.34%,0.26%,3.48%
Madagascar,3.99%,3.80%,5.74%,-7.14%,4.41%
Maldives,3.97%,13.91%,37.69%,-32.91%,7.30%
Belarus,3.89%,-4.66%,2.44%,-0.67%,1.45%
Antigua And Barbuda,3.86%,9.52%,8.19%,-18.88%,3.10%
Tuvalu,3.85%,0.68%,1.80%,-4.27%,13.82%
Egypt,3.76%,6.59%,3.29%,3.55%,5.55%
Lao PDR,3.75%,2.71%,2.53%,0.50%,5.46%
Senegal,3.70%,3.82%,6.54%,1.34%,4.61%
Malaysia,3.68%,8.65%,3.30%,-5.46%,4.41%
Russia,3.60%,-2.07%,5.61%,-2.65%,2.20%
Honduras,3.58%,4.14%,12.57%,-8.97%,2.56%
El Salvador,3.51%,2.80%,11.90%,-7.89%,2.44%
